2023/12/28 15:59:09 [error] 8392#11100: *535 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:16 [error] 8392#11100: *535 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:33 [error] 8392#11100: *504 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:45 [error] 8392#11100: *535 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 15:59:48 [error] 8392#11100: *535 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:02:30 [error] 8392#11100: *547 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:08:52 [error] 8392#11100: *550 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:08:53 [error] 8392#11100: *552 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:08:56 [error] 8392#11100: *550 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:00 [error] 8392#11100: *550 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:06 [error] 8392#11100: *552 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:09 [error] 8392#11100: *552 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:12 [error] 8392#11100: *552 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:12 [error] 8392#11100: *552 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:12 [error] 8392#11100: *552 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:09:13 [error] 8392#11100: *550 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:10:22 [error] 8392#11100: *561 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:10:30 [error] 8392#11100: *561 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:10:49 [error] 8392#11100: *562 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:29:30 [error] 8392#11100: *575 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:29:32 [error] 8392#11100: *574 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:29:57 [error] 8392#11100: *574 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:30:10 [error] 8392#11100: *574 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:30:29 [error] 8392#11100: *575 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:42:32 [error] 8392#11100: *591 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
